observed,year,month,day,place,lat,lng
2017-05-24,2017,5,24,"Stonewall County, TX, USA",33.0478768019,-100.5013632774
2017-05-18,2017,5,18,"La Salle County, TX, USA",28.0465948091,-99.3664294481
2017-05-19,2017,5,19,"6766-7550 U.S. 67 San Angelo, TX 76904",31.4170402602,-100.5336478231
2017-05-18,2017,5,18,"Texas, US",31.0395414353,-100.8488275549
2017-05-18,2017,5,18,"Texas, US",31.1107901419,-100.985866927
2017-05-18,2017,5,18,"Texas, US",30.9084195965,-101.122458865
2017-05-18,2017,5,18,"Texas, US",31.0983370338,-101.0948776139
2017-05-18,2017,5,18,"76943, Ozona, TX, US",31.0034070723,-101.1512484402
2017-05-18,2017,5,18,"Texas, US",30.981213051,-101.1548785306
2017-05-18,2017,5,18,"Texas, US",30.8196355416,-101.1758561304
2017-05-17,2017,5,17,"Texas, US",30.8845623788,-101.0977410106
2017-05-15,2017,5,15,"Brownsville, TX, USA",26.0198516667,-97.4750683333
2017-05-15,2017,5,15,"Texas, US",27.9069582964,-98.4082079835
2017-05-14,2017,5,14,"Standart Road Brackettville, TX 78832",29.3021932958,-100.6045959357
2017-05-14,2017,5,14,"County Road K, Canadian, TX, US",35.889453711,-100.1824520622
2017-05-10,2017,5,10,"Crockett County, US-TX, US",30.9373865689,-101.1967681417
2017-05-13,2017,5,13,"US-90 W, Marathon, TX, US",30.203349,-102.952161
2017-05-10,2017,5,10,"Eagle Pass, TX 78852",28.8926957399,-100.5184349292
2017-05-05,2017,5,5,"Val Verde County, US-TX, US",29.9462059516,-101.7368667438
2017-05-05,2017,5,5,"Val Verde County, US-TX, US",29.9481774874,-101.7360807686
2017-05-04,2017,5,4,"76936, Eldorado, TX, US",31.030883114,-100.937946974
2017-05-07,2017,5,7,"FM 1258, Claude, TX, US",34.9871022301,-101.4060985298
2017-05-06,2017,5,6,"11429 Twin Lakes Lane San Angelo, TX 76904",31.3181256459,-100.5923599536
2017-05-06,2017,5,6,"79256, Roaring Springs, TX, US",33.8540933052,-100.8578840633
2017-04-28,2017,4,28,"Webb County, TX, USA",27.9144439697,-99.8466644287
2017-05-05,2017,5,5,"El Paso, TX, USA",31.642001238,-106.3049930334
2017-05-04,2017,5,4,"Cottle County, TX, USA",34.16042809,-100.4185152054
2017-05-04,2017,5,4,"Kent County, TX, USA",33.0968574325,-100.533721447
2017-04-22,2017,4,22,"79322, Crosbyton, TX, US",33.4647219602,-101.1079745023
2017-04-29,2017,4,29,"Webb County, TX, USA",27.8649294975,-99.8718810081
2017-04-29,2017,4,29,"Laredo, TX 78045",27.9144439697,-99.8466644287
2017-04-30,2017,4,30,"11793–12511 Sutton Rd, San Angelo, TX, US",31.6498105182,-100.4887410534
2017-04-26,2017,4,26,"Taylor Rd, Ozona, TX, US",30.7353678905,-101.0663748813
2017-04-22,2017,4,22,"2701–2831 FM 2794, Crosbyton, TX, US",33.4825666667,-101.1235278333
2017-04-26,2017,4,26,"La Pryor, TX 78872",28.9305948471,-99.9131568395
2017-04-26,2017,4,26,Zavala County TX,28.9302445679,-99.9230376258
2017-04-26,2017,4,26,"La Pryor, TX 78872",28.9298749973,-100.0250865201
2017-04-21,2017,4,21,"51820–51830 State Highway 118, Alpine, TX, US",29.580392,-103.556582
2017-04-21,2017,4,21,"FM 193, Dickens, TX, US",33.7658272703,-100.8575687746
2017-04-14,2017,4,14,"Texas, US",30.1374003937,-97.0193992115
2017-04-10,2017,4,10,"Kent County, TX, USA",33.0491358232,-100.528485775
2017-04-12,2017,4,12,"US Highway 57, La Pryor, TX, US",28.93057,-99.9240633333
2017-04-09,2017,4,9,"2407 East Holland Avenue Alpine, TX 79830",30.36516536,-103.63928252
2017-03-31,2017,3,31,"Coke County, US-TX, US",32.0062846458,-100.5494379346
2017-03-26,2017,3,26,My Ranch,28.894012,-98.655295
2017-03-26,2017,3,26,"78011, Charlotte, TX, US",28.8945011015,-98.6555946806
